RecordID;ID;SomeData
1;62 11 fb_aH1c;Data_1
2;ef c9 6d_JYbZ;Data_2
3;4e 35 e8_aggZ;Data_3
4;59 ae f3_QikT;Data_4
5;ed 27 63_ho3x;Data_5
6;e6 b4 96_mxye;Data_6
7;ab c5 47_kvu6;Data_7
8;2d 67 32_WKTa;Data_8
9;a4 df ac_vE68;Data_9
10;fe cf 06_LN6s;Data_10
11;95 03 93_tFU6;Data_11
12;ae b7 cb_QwUK;Data_12
13;5f d3 42_1sX8;Data_13
14;99 fe ba_648R;Data_14
15;6c 2d 69_cEPy;Data_15
16;2c b0 38_SRZS;Data_16
17;d2 a6 6a_OzFc;Data_17
18;61 c4 cb_Wuqs;Data_18
19;c6 a1 46_NbSV;Data_19
20;0e 70 b6_e6jC;Data_20
